restaurant_code,menu_name,price,description
9,물냉면,9000,
9,비빔냉면,9000,
10,대방어 회 한상 (예약추천),53000,"대방어회 시작
기본
뚝배기오뎅탕,초밥용 밥,간장새우,회무침,샐러드,팥빙수가 제공됩니다."
10,대삼치 회 한상(예약추천),50000,"기본
뚝배기오뎅탕,초밥용 밥,간장새우,회무침,샐러드,팥빙수가 제공됩니다."
10,모듬 회덮밥,12000,
10,모리 특선 초밥 11p,16000,"초밥 주문시
기본 3찬 + 샐러드 +국물 제공됩니다."
10,모리 시그니쳐vip 초밥,21000,"초밥 주문시
기본 3찬 + 샐러드 +국물 제공됩니다."
10,물회,19000,
10,※※※그밖에 안주 및 사이드※,,
10,닭껍질교자,18000,
10,치킨 가라아게,18000,
10,가쓰오 김치 오뎅탕,19000,
10,가쓰오 오뎅탕,18000,
10,먹태구이,14000,
10,생선메뉴는 가격변동이 있을수 있습니다,,
10,뚝배기 김치어묵우동,9000,
10,치즈 불닭게티,9000,
10,치즈 짜파구리,9000,
10,철판김치볶음밥,6000,
10,모찌리도후,7000,
10,파인샤베트,6000,
10,모듬고로케,10000,6P
10,왕새우튀김,9000,3P
10,청어알젓(60g) 추가,3500,
10,준마이 북극곰의 눈물,38000,720ml
10,※※※메인 안주류※,,
10,간바레오토상 팩,32000,
10,하쿠쯔루 마루,32000,
10,센300,8000,
10,모리 하이볼,8000,
10,짐빔 하이볼,8000,
10,느린마을 늘봄 막걸리,8000,
10,서울의밤,16000,
10,일품진로 SET,32000,일품진로+토닉워터2개+레몬
10,화요25 SET,32000,화요25+토닉워터2개+레몬
10,서울의 밤 SET,17000,서울의밤+토닉워터 2개+레몬
10,※※※※※※※※※※※※,,
10,도원결의 SET,17000,도원결의+토닉워터2개+레몬
10,2+1 하이볼 SET,16000,
10,소주,5000,"후레쉬, 진로이즈백, 처음처럼, 새로"
10,새로살구,5000,
10,참이슬 오리지널,5500,
10,한라토닉 세트,11000,
10,한라산,7000,
10,병맥주,5000,"테라, 카스, 켈리"
10,청하,6000,
10,토닉워터,2500,
10,모듬숙성회 한상,45000,"기본으로
뚝배기오뎅탕,초밥용 밥,간장새우,회무침,샐러드,팥빙수가 제공됩니다."
10,대방어+참돔 반반 한상,55000,"기본으로
뚝배기오뎅탕,초밥용 밥,간장새우,회무침,샐러드,팥빙수가 제공됩니다."
10,대방어+대삼치 회 한상(예약추천),53000,"대방어회 시작
기본
뚝배기오뎅탕,초밥용 밥,간장새우,회무침,샐러드,팥빙수가 제공됩니다."
10,통삼겹 수육튀김,22000,
10,※※※초밥 및 식사류※,,
11,장어소금구이(1kg),64000,장어 구이 입니다.
11,장어추가(500g),33000,장어 추가 주문시 500g단위로 가능합니다.
11,갑오징어(구이/숙회),40000,구이 또는 숙회로 즐길 수 있는 갑오징어로 탱탱하여 맛이 아주 좋습니다.
11,가리비구이(계절메뉴),20000,계절 메뉴 가리비 구이로 탱탱한 가리비 구이를 맛보실 수 있습니다.
11,꼬장세트(꼬막비빔밥+미니장어탕),13000,밑반찬과 함께 든든히 즐길 수 있는 꼬막비빔밥과 장어탕입니다. 맛있게 즐겨주세요
11,장어탕,10000,장어로 맛있게 우려낸 장어탕입니다.
11,꼬막비빔밥,10000,꼬막이 풍부하고 새콤한 꼬막비빔밥입니다.
12,아뜨레국산팥빙수,13000,
12,아뜨레흑임자빙수,13000,
12,샤인머스켓요거트조각,7300,
12,통고구마조각,7300,
12,생딸기조각,7300,
