restaurant_code,reviewer_name,reviewer_avg_score,reviewer_rv_cnt,reviewer_follower_cnt,reviewer_score,taste_level,price_level,service_level,review_content,review_menu,keywords
17,먼지님,4.5,532,47,4점,1,2,2,"개업한지 한달되서 가게 깔끔하고 맛도 먹을만했어요
잘먹었습니다.",갑삼불고기백반,"저녁식사,깔끔한,주차불가"
18,먼지님,4.5,532,47,5점,2,2,2,"모든메뉴 7000원
사골국물이 부담없이 맛나요
계란푼 칼국수에 사골국물 아주좋았어요
겉절이도 너무맛있어요
사장님도 친절하셔요",칼제비,"점심식사,혼밥,가성비좋은,주차불가"
18,우리의나날,4.5,420,2,4점,2,2,2,깔끔한 실내. 달걀이 풀어진 국물이라 담백함 양념장을 풀어도 맛있음 칼제비보단 칼만두 추천,"칼만두,칼제비","저녁식사,서민적인"
18,대방94,4.5,70,1,5점,2,2,2,깔끔하고 담백한 계란칼국수입니다. 김치가 넘 맛있어요 …! 가성비 좋은 동네 맛집이라 자주 방문할것 같네요,칼만두,"실버푸드,저녁식사,혼밥,데이트,숨은맛집,서민적인,가성비좋은,깔끔한,지역주민이찾는"
18,서나라구,4.5,233,4,5점,2,2,2,"다른장소에 있었는데 여기로 옮기신듯
이전하시고 더 맛있구요!깔끔하고 
혼밥하러 가기에도 좋아요!",칼국수,"다이어트식단,점심식사,저녁식사,식사모임,혼밥,실버푸드,데이트,기념일,간식,가족외식,숨은맛집,서민적인,캐주얼한,가성비좋은,푸짐한,조용한,지역주민이찾는,깔끔한,주차불가"
18,"다코미식가
뿌우",3.8,529,64,4점,2,2,2,가성비 좋기로 유명한 칼국수집. 맛도 무난합니다. 공깃밥도 무료로 줍니다.,칼국수,"점심식사,저녁식사,서민적인,가성비좋은,시끌벅적한,지역주민이찾는"
19,서나라구,4.5,233,4,5점,2,2,2,강아지 데리고 나와서 야외테이블 있는 이곳 선택했어요.우동집인만큼 우동이 맛있어요!가격도 저렴하고 좋아요. 술안파는곳입니다!참고하세요^^,우동,"아침식사,점심식사,식사모임,저녁식사,아이동반,혼밥,회식,가족외식,기념일,숨은맛집,서민적인,캐주얼한,가성비좋은,푸짐한,시끌벅적한,깔끔한,지역주민이찾는,주차불가,대형룸,야외좌석(테라스),애완동물동반"
19,먼지님,4.5,532,47,5점,2,2,2,"상도동 주민으로써 술한잔하구 자주 들리는 곳입니다 아주 맛나고 해장에 좋아요
사장님 친절하시구요 강아지와 편하게 먹을수 있게 해주셨어요",우동,"회식,숨은맛집,서민적인,가성비좋은,지역주민이찾는,주차불가"
19,밍민,4.8,232,2,4.5점,2,2,2,오늘같이 추운날 뜨끈하게 우동먹기 너무 좋아요 가성비도 좋구요,우동,"점심식사,서민적인"
19,대뽕,4.1,830,61,4점,2,2,1,"오래되고 허름한 기계우동집~
날씨가 조금 더 쌀쌀해지면 많이들 찾으실듯 합니다
맛있습니다
카드결제도 됩니다~",곱배기,"아이동반,점심식사,저녁식사,혼밥,숨은맛집,서민적인,무료주차"
19,코어,4.0,257,8,4점,2,2,1,"매우 오래된 기계우동집, 묘하게 튀김이 끌리는 맛이에요 가격도 착하고 가끔 가게 되는 곳임","우동,짜장","점심식사,저녁식사,서민적인"
19,삼육다,4.3,27,0,4점,2,2,1,"우동, 짜장 먹어봤는데 우동이 더 맛있음
간단하게 혼밥하기좋음","우동,짜장","점심식사,캐주얼한"
19,damdam,3.5,2,0,3점,1,2,2,"우동이나 짜장면 먹고싶울때 갈정도로 맛있진않고
저렴한가격에 한끼, 술먹고 먹기 좋아용","짜장면,우동","점심식사,저녁식사,간식,혼밥,서민적인,가성비좋은,푸짐한,지역주민이 찾는"
19,Sang Jin Hong,4.3,3,0,4점,,,,술 마시고 집에 들어가기 아쉬울때.,,
19,장재호,4.0,3,0,4점,,,,,,
